,Name,Location,Suberb,PostCode,Price Today,Price Tomorrow,Brand
74,Glen Forrest Fuel,20 Great Eastern Hwy,GLEN FORREST,6071,169.5,169.5,Independent
73,Liberty Dongara,30215 Brand Hwy,DONGARA,6525,169.5,169.5,Liberty
72,Liberty Oyster Harbour,4 Bayonet Head Rd,BAYONET HEAD,6330,169.5,169.5,Liberty
75,United Kellerberrin Truck Stop,150 Massingham St,KELLERBERRIN,6410,169.5,169.5,United
81,Vibe Byford,868 South Western Hwy,BYFORD,6122,169.7,169.7,Vibe
82,Caltex Maddington Truck Stop,18 Orchard Rd,MADDINGTON,6109,169.7,169.7,Caltex
83,Vibe Mt Helena,9 McVicar Pl,MOUNT HELENA,6082,169.7,169.7,Vibe
84,Wubin Roadhouse,108 Great Northern Hwy,WUBIN,6612,169.7,169.7,Mobil
85,BP Cunderdin Roadhouse,Lot 6 Great Eastern Hwy,CUNDERDIN,6407,169.9,169.9,BP
86,Caltex Langford,230-234 Nicholson Rd,LANGFORD,6147,169.9,169.9,Caltex
87,NightOwl Shell Highgate,3 Guildford Rd,MOUNT LAWLEY,6050,169.9,169.9,Shell
88,NightOwl Shell Redcliffe,443 Great Eastern Hwy,REDCLIFFE,6104,169.9,169.9,Shell
89,Atlas Fuel Sawyers Valley,10895 Great Eastern Hwy,SAWYERS VALLEY,6074,169.9,169.9,Atlas
91,Ampol Foodary Byford,Lot 22 South Western Hwy,BYFORD,6122,170.9,170.9,Ampol
92,Vibe East Bunbury,13 Picton Rd,EAST BUNBURY,6230,171.1,171.1,Vibe
93,Condello's Liquor Waterloo,14755 South Western Hwy,PICTON EAST,6229,171.2,171.2,Pheonix
102,Burk Broadwater,545 Bussell Hwy,BROADWATER,6280,172.3,171.3,BURK
94,Vibe South Bunbury,302 Blair St,SOUTH BUNBURY,6230,171.3,171.3,Vibe
95,United Byford,801-803 South Western Hwy,BYFORD,6122,171.5,171.5,United
96,Liberty Dalyellup,9 Norton Prom,DALYELLUP,6230,171.5,171.5,Liberty
98,United Mount Barker Roadhouse Truck Stop,31763 Albany Hwy,MOUNT BARKER,6324,171.5,171.5,United
114,Refuel Australia - Deepdale Meru,256 Deepdale Rd,MERU,6530,173.8,171.8,Ampol
115,Refuel Australia - Geraldton Flores Road,120 Flores Rd,WEBBERTON,6530,173.8,171.8,Ampol
116,Refuel Australia - Geraldton Willcock Drive,Cnr John Willcock Link & Portway,WEST END,6530,173.8,171.8,Ampol
145,Burk Williams,24 Albany Hwy,WILLIAMS,6391,175.9,171.9,BURK
99,OTR Bunbury,92 Blair St,BUNBURY,6230,171.9,171.9,Shell
100,Ampol Foodary Gelorup,39 Bussell Hwy,GELORUP,6230,171.9,171.9,Ampol
101,BP Northam OPT,78 Old York Rd,NORTHAM,6401,171.9,171.9,BP
103,Vibe Broadwater,375 Bussell Hwy,BROADWATER,6280,172.3,172.3,Vibe
104,Vibe Siesta Park,367 Caves Rd,KEALY,6280,172.3,172.3,Vibe
105,Whalley's United Beachway,260 Middleton Rd,MIRA MAR,6330,172.4,172.4,United
106,Whalley's United Uberwash,225-227 Albany Hwy,MOUNT MELVILLE,6330,172.4,172.4,United
107,United Southern River,Lot 101 Terrier Pl,SOUTHERN RIVER,6110,172.5,172.5,United
108,Liberty Busselton West,100 West St,WEST BUSSELTON,6280,172.5,172.5,Liberty
121,Vibe Bedford,168 Walter Rd West,BEDFORD,6052,174.7,172.7,Vibe
109,Boyanup Fuel,8B South Western Hwy,BOYANUP,6237,172.9,172.9,WA Fuel
110,Ampol Foodary Kwinana,Cnr Mandurah Rd & Wellard Rd,KWINANA BEACH,6167,172.9,172.9,Ampol
111,Mt Barker Fuel Services,48 Lowood Rd,MOUNT BARKER,6324,172.9,172.9,Independent
112,Caltex Lakes Road Nambeelup,6 Dollyup Street,STAKE HILL,6181,173.5,173.5,Caltex
113,Vibe Upper Swan,1447 Great Northern Hwy,UPPER SWAN,6069,173.7,173.7,Vibe
117,Geographe Petroleum,84 Strelly St,BUSSELTON,6280,173.9,173.9,Liberty
118,Liberty West Busselton,259 Bussell Hwy,WEST BUSSELTON,6280,173.9,173.9,Liberty
119,Ampol Albany Diesel Stop,634 Menang Dr,WILLYUNG,6330,173.9,173.9,Ampol
161,NightOwl Shell Ravenswood,6 Beacham Rd,RAVENSWOOD,6208,177.4,174.4,Shell
120,Ampol Rous Head,Cnr North Mole Dr & Rous Head Rd,NORTH FREMANTLE,6159,174.5,174.5,Ampol
199,Vibe Donnybrook,45 South Western Hwy,DONNYBROOK,6239,179.7,174.7,Vibe
122,Gull Waterloo,14270 South Western Hwy,WATERLOO,6228,174.7,174.7,Gull
123,One Stop Roadhouse Donnybrook,51 South Western Hwy,DONNYBROOK,6239,174.8,174.8,Independent
124,Petro Fuels Mount Barker,25 Mitchell Rd,MOUNT BARKER,6324,174.8,174.8,BP
128,BP Spencer Park Service Station,30 Angove Rd,SPENCER PARK,6330,174.9,174.9,BP
127,BP 2go Morrison Road,226 Morrison Rd,MIDVALE,6056,174.9,174.9,BP
126,Fruit Barn,7 South Western Hwy,DONNYBROOK,6239,174.9,174.9,Liberty
125,Metro Canning Vale,Lot 322 Ranford Rd,CANNING VALE,6155,174.9,174.9,Metro
153,Ampol Foodary Williams,56 Albany Hwy,WILLIAMS,6391,176.9,174.9,Ampol
129,Dardanup Garage & Service Station,11 Charlotte St,DARDANUP,6236,175.0,175.0,Independent
130,Darnell's General Store,1230 Rosa Brook Rd,ROSA BROOK,6285,175.0,175.0,Independent
131,Vibe Placid Ark Roadhouse,6947 South Western Hwy,COOLUP,6214,175.5,175.5,Vibe
132,Liberty Pinjarra,Cnr Pinjarra Rd & Carey St,PINJARRA,6208,175.5,175.5,Liberty
133,United Pinjarra Truck Stop,1602 Pinjarra Rd,PINJARRA,6208,175.5,175.5,United
134,Vibe Pinjarra,58 George St,PINJARRA,6208,175.5,175.5,Vibe
135,Vibe Henderson,Lot 104 Russel Rd,HENDERSON,6166,175.7,175.7,Vibe
136,Vibe Mandurah,2 Rafferty Rd,MANDURAH,6210,175.7,175.7,Vibe
144,BP Williams Roadhouse,16 Albany Hwy,WILLIAMS,6391,175.9,175.9,BP
143,Dunning's Picton,254 South Western Hwy,PICTON,6229,175.9,175.9,Shell
142,Ampol Picton Depot With Front,1 Wimbridge Rd,PICTON,6229,175.9,175.9,Ampol
137,Shell Reddy Express Brighton,61 Butler Bvd,BUTLER,6036,175.9,175.9,
140,BP Naval Base,1351 Rockingham Rd,NAVAL BASE,6165,175.9,175.9,BP
139,Shell Reddy Express Maddington,117 Burslem Dr,MADDINGTON,6109,175.9,175.9,
138,Liberty Cataby,10805 Brand Hwy,CATABY,6507,175.9,175.9,Liberty
169,Colroy Country Kitchen,93 Capel Dr,CAPEL,6271,177.9,175.9,Ampol
141,Caltex Naval Base,Cnr Rockingham Rd & Lee Rd,NAVAL BASE,6165,175.9,175.9,Caltex
146,Bakers Food and Fuel,46458 South Coast Hwy,KING RIVER,6330,176.0,176.0,Liberty
147,Vibe Toodyay Rd,2086 Toodyay Rd,GIDGEGANNUP,6083,176.7,176.7,Vibe
151,Shell Lower King Liquor & General,629 Lower King Rd,LOWER KING,6330,176.9,176.9,Shell
152,Ampol Foodary Stratton,240 Toodyay Rd,STRATTON,6056,176.9,176.9,Ampol
149,Shell Gidgegannup,2095 Toodyay Rd,GIDGEGANNUP,6083,176.9,176.9,Shell
148,BP Denmark,44A South Coast Hwy,DENMARK,6333,176.9,176.9,BP
150,Hi-Way Sales & Service 1982,154 Albany Hwy,KOJONUP,6395,176.9,176.9,WA Fuel
154,Moonyoonooka Store,753 Geraldton-Mt Magnet Rd,MOONYOONOOKA,6532,177.0,177.0,Ampol
155,Vibe Forrestfield,159 Milner Rd,FORRESTFIELD,6058,177.3,177.3,Vibe
156,Better Choice Margaret River,211 Bussell Hwy,MARGARET RIVER,6285,177.3,177.3,Better Choice
157,United Neerabup Truck Stop,2038 Wanneroo Rd,NEERABUP,6031,177.3,177.3,United
158,Vibe Neerabup,1 Pinnacle Dr,NEERABUP,6031,177.3,177.3,Vibe
159,United Perth Airport Truck Stop,Airport Dr (Cnr Paltridge Rd),PERTH AIRPORT,6105,177.3,177.3,United
160,Vibe Witchcliffe,10428 Bussell Hwy,WITCHCLIFFE,6286,177.3,177.3,Vibe
166,United Tapping,1369 Wanneroo Rd,WANNEROO,6065,177.5,177.5,United
164,Ampol Meckering Roadhouse,31 Dreyer St,MECKERING,6405,177.5,177.5,Ampol
165,Liberty Tapping,3 Herdsman Lane,WANNEROO,6065,177.5,177.5,Liberty
162,Shell High Wycombe,1100 Abernethy Rd,HIGH WYCOMBE,6057,177.5,177.5,Shell
163,Geographe Petroleum Margaret River,12 Auger Way,MARGARET RIVER,6285,177.5,177.5,Liberty
167,Vibe Bullsbrook Northlink,1769 Neaves Rd,BULLSBROOK,6084,177.7,177.7,Vibe
178,Shell Coles Express Wonthella,115 North West Coastal Hwy,WONTHELLA,6530,177.9,177.9,Coles Express
177,BP Walpole,18 Nockolds St,WALPOLE,6398,177.9,177.9,BP
176,OTR Roleystone,770 Brookton Hwy,ROLEYSTONE,6111,177.9,177.9,Caltex
174,BP Picton Wetherley Dr,24 Wetherly Dr,PICTON,6229,177.9,177.9,BP
173,BP Picton Truckstop,Lot 202 Wimbridge Rd,PICTON,6229,177.9,177.9,BP
175,Astron Roleystone,11 Wygonda Rd,ROLEYSTONE,6111,177.9,177.9,Astron
171,Shell Coles Express Tarcoola,2 Fortyn Ct,MAHOMETS FLATS,6530,177.9,177.9,Coles Express
170,United Denmark,45 South Coast Hwy,DENMARK,6333,177.9,177.9,United
168,Liberty Banksia Grove,7 Honeybee Pde,BANKSIA GROVE,6031,177.9,177.9,Liberty
224,Dunning's Northam,38 Peel Tce,NORTHAM,6401,179.9,177.9,Shell
221,Little Grove General Store,639 Frenchmans Bay Rd,LITTLE GROVE,6330,179.9,177.9,Shell
172,Atlas Fuel Narrogin,44 Egerton St,NARROGIN,6312,177.9,177.9,Atlas
194,FDWA Cunderdin,67 Lundy Ave,CUNDERDIN,6407,179.0,178.0,Independent
179,Vibe Bullsbrook,2533 Great Northern Hwy,BULLSBROOK,6084,178.7,178.7,Vibe
180,Vibe Bunbury,42 Strickland St,BUNBURY,6230,178.7,178.7,Vibe
181,Vibe Waroona,89 South Western Hwy,WAROONA,6215,178.7,178.7,Vibe
251,Refuel Australia - Port Hedland,Lot 3 Great Northern Hwy,PORT HEDLAND,6721,182.8,178.8,Ampol
182,Petro Fuels Cataby,10513 Brand Hwy,CATABY,6507,178.8,178.8,Ampol
183,Refuel Australia - Dalwallinu,2 Clinch Rd,DALWALLINU,6609,178.8,178.8,Ampol
190,BP South Bunbury,188 Spencer St,SOUTH BUNBURY,6230,178.9,178.9,BP
189,BP Parklands,85 Forrest Ave,SOUTH BUNBURY,6230,178.9,178.9,BP
191,Waroona Roadhouse,32 South Western Hwy,WAROONA,6215,178.9,178.9,Puma
187,BP Narrogin,37 Federal St,NARROGIN,6312,178.9,178.9,BP
186,BP Moora Depot,153 Gardiner St,MOORA,6510,178.9,178.9,BP
185,BP Roadhouse Dongara,30373 Brand Hwy,DONGARA,6525,178.9,178.9,BP
188,Serpentine Falls Roadhouse,2 Falls Rd,SERPENTINE,6125,178.9,178.9,Independent
184,GD's Brunswick Roadhouse,94 Ommaney Rd,BRUNSWICK,6224,178.9,178.9,Ampol
437,Walkaway General Store,1 Evans Rd,WALKAWAY,6528,,179.0,Independent
192,Shell Bullsbrook,2539 Great Northern Hwy,BULLSBROOK,6084,179.0,179.0,Shell
193,Chidlow Growers Mart Liquor Store,570 Rosedale Rd,CHIDLOW,6556,179.0,179.0,Independent
195,United Osborne Park,479 Scarborough Beach Rd,OSBORNE PARK,6017,179.3,179.3,United
196,Young Siding General Store,19 Station St,YOUNGS SIDING,6330,179.3,179.3,BP
13,Vibe Osborne Park,7 Hutton St,OSBORNE PARK,6017,159.9,179.3,Vibe
197,Yarrumba Service Station,21 Jose St,MULLEWA,6630,179.4,179.4,Liberty
198,United Vasse Truck Stop,210 Northerly St,VASSE,6280,179.5,179.5,United
200,Vibe Bunbury Strickland St,81 King Rd,EAST BUNBURY,6230,179.7,179.7,Vibe
201,Vibe Piara Waters,390 Nicholson Rd,PIARA WATERS,6112,179.7,179.7,Vibe
202,Gull York Roadhouse,63 Avon Tce,YORK,6302,179.7,179.7,Gull
47,Vibe Charles St,427 Charles St,NORTH PERTH,6006,166.2,179.7,Vibe
239,Petro Fuels Denmark,69 South Coast Hwy,DENMARK,6333,181.8,179.8,Shell
230,Ampol Welshpool Diesel Stop,119 Kurnall Rd,WELSHPOOL,6106,179.9,179.9,Ampol
229,Shell Reddy Express Vasse,2 Napoleon Prom,VASSE,6280,179.9,179.9,
228,Shell Reddy Express Upper Swan Roadhouse,1333 Great Northern Hwy,UPPER SWAN,6069,179.9,179.9,
227,Shell Reddy Express Southern River,216 Lakey St,SOUTHERN RIVER,6110,179.9,179.9,
226,Windmill Roadhouse,1 Darch St,REGANS FORD,6507,179.9,179.9,Liberty
225,53 Mile Roadhouse,31 South Western Hwy,PINJARRA,6208,179.9,179.9,United
258,Dunning's Manjimup,5 Margerison St,MANJIMUP,6258,182.9,179.9,
223,Shell Reddy Express Middle Swan,Lot 46 Great Northern Hwy,MIDDLE SWAN,6056,179.9,179.9,
222,Shell Reddy Express Margaret River,78 Bussell Hwy,MARGARET RIVER,6285,179.9,179.9,
220,Shell Reddy Express Kwinana Beach,4 Beach St,KWINANA BEACH,6167,179.9,179.9,
323,Better Choice Como,25 Preston St,COMO,6152,187.7,179.9,Better Choice
305,Liberty Karratha,2 Cockatoo St,NICKOL,6714,185.9,179.9,Liberty
218,BP Kewdale,549 Abernethy Rd,KEWDALE,6105,179.9,179.9,BP
217,Ampol Foodary High Wycombe,967 Abernethy Rd,HIGH WYCOMBE,6057,179.9,179.9,Ampol
219,BP Koondoola,28 Koondoola Ave,KOONDOOLA,6064,179.9,179.9,BP
203,Shell Reddy Express Armadale,269 South Western Hwy,ARMADALE,6112,179.9,179.9,
204,Shell Reddy Express Brookdale,1256 Armadale Rd,ARMADALE,6112,179.9,179.9,
205,Shell Reddy Express Banksia Grove,1001 Joondalup Dr,BANKSIA GROVE,6031,179.9,179.9,
206,BP Baskerville,1084 Great Northern Hwy,BASKERVILLE,6056,179.9,179.9,BP
207,Shell Reddy Express Bayswater,34 Jackson St,BAYSWATER,6053,179.9,179.9,
208,Bodallin Roadhouse,57 Corboy St,BODALLIN,6424,179.9,179.9,
438,Smiths Shell Service,86 Avon Tce,YORK,6302,,179.9,Shell
210,BP Canning Vale OPT,13 Bannister Rd,CANNING VALE,6155,179.9,179.9,BP
209,BP Busselton,26 Albert St,BUSSELTON,6280,179.9,179.9,BP
215,BP Forrestdale,2 Alex Wood Dr,FORRESTDALE,6112,179.9,179.9,BP
214,Ampol Foodary Forrestdale,63 Alex Wood Dr,FORRESTDALE,6112,179.9,179.9,Ampol
213,United Ellenbrook,3 Locke Lane,ELLENBROOK,6069,179.9,179.9,United
212,Liberty East Rockingham,115 Dixon Rd,EAST ROCKINGHAM,6168,179.9,179.9,Liberty
216,Herne Hill General Store,777 Great Northern Hwy,HERNE HILL,6056,179.9,179.9,Puma
211,BP Donnybrook,15 South Western Hwy,DONNYBROOK,6239,179.9,179.9,BP
436,S-Bend Caravan Park,27 Company Rd,SOUTH GREENOUGH,6528,,180.0,Liberty
232,Cape Agencies,20 Windsor Rd,WELLSTEAD,6328,180.0,180.0,Ampol
231,Manypeaks Store,43738 South Coast Hwy,MANYPEAKS,6328,180.0,180.0,BP
233,BP Welshpool,1 Ballantyne Rd,KEWDALE,6105,180.9,180.9,BP
234,Dunning's Wedgefield,6 Tailings Elb,WEDGEFIELD,6721,180.9,180.9,Shell
235,Walpole IGA Pioneer Store,10 Nockolds St,WALPOLE,6398,181.0,181.0,Ampol
236,Vibe Hamilton Hill,114 Rockingham Rd,HAMILTON HILL,6163,181.3,181.3,Vibe
237,Better Choice Karridale Roadhouse,12440 Bussell Hwy,KARRIDALE,6288,181.3,181.3,Better Choice
238,United Hamilton Hill,9 Winterfold Rd,HAMILTON HILL,6163,181.5,181.5,United
268,Refuel Australia - DMW Supplies,39 Moreton Tce,DONGARA,6525,183.8,181.8,Ampol
244,Crudeli's Auto Repairs,24 Maitland Rd,MULLEWA,6630,181.9,181.9,BP
242,Geographe IGA,328 Marine Tce,GEOGRAPHE,6280,181.9,181.9,Liberty
246,Liberty O'Connor,9 Pritchard St,O'CONNOR,6163,181.9,181.9,Liberty
241,Ampol Foodary Bannister Road,60 Bannister Rd,CANNING VALE,6155,181.9,181.9,Ampol
240,Balingup Liquor & General Store,12 Bridgetown Rd,BALINGUP,6253,181.9,181.9,Independent
243,Shell Reddy Express Langford,70 Nicholson Rd,LANGFORD,6147,181.9,181.9,
245,Shell Reddy Express Myaree,69 North Lake Rd,MYAREE,6154,181.9,181.9,
247,Phoenix Barlee St,31 Barlee St,BUSSELTON,6280,182.0,182.0,Independent
248,United Bibra Lake,13 Whyalla Ct,BIBRA LAKE,6163,182.5,182.5,United
249,United Manjimup,1 Rose St,MANJIMUP,6258,182.5,182.5,United
250,Vibe Bridgetown,169 Hampton St,BRIDGETOWN,6255,182.7,182.7,Vibe
264,BP Wedgefield OPT,Cnr Pinga St & Anthill St,WEDGEFIELD,6721,182.9,182.9,BP
263,Ampol Wedgefield Diesel Stop,12-14 Cajarina Rd,WEDGEFIELD,6721,182.9,182.9,Ampol
262,De Rosa's Highway Motors,8222 South Western Hwy,WAROONA,6215,182.9,182.9,Independent
257,BP Manjimup,96 Giblett St,MANJIMUP,6258,182.9,182.9,BP
260,Del Park Roadhouse,4267 South Western Hwy,NORTH DANDALUP,6207,182.9,182.9,Ampol
252,Ampol Bridgetown Diesel Stop,1 Spencer St,BRIDGETOWN,6255,182.9,182.9,Ampol
253,BP Roadhouse Bridgetown,43 Hampton St,BRIDGETOWN,6255,182.9,182.9,BP
261,Shell Reddy Express Bunbury,70 Forrest Ave,SOUTH BUNBURY,6230,182.9,182.9,
255,Puma Kununurra Depot,2257 Victoria Hwy,KUNUNURRA,6743,182.9,182.9,Puma
256,United Lexia Truck Stop,779 Gnangara Rd,LEXIA,6065,182.9,182.9,United
254,Shell Reddy Express Kewdale,518 Abernethy Rd,KEWDALE,6105,182.9,182.9,
259,WA Fuel Manjimup,54 Wetherell St,MANJIMUP,6258,182.9,182.9,WA Fuel
265,Elleker General Store,1309 Lower Denmark Rd,ELLEKER,6330,183.2,183.2,Puma
266,Greenbushes Roadhouse,28 Blackwood Rd,GREENBUSHES,6254,183.7,183.7,Pheonix
267,United Myaree,182 Leach Hwy,MYAREE,6154,183.7,183.7,United
315,Refuel Australia - Carnarvon,40 Harbour Rd,GREYS PLAIN,6701,186.8,183.8,Ampol
314,Refuel Carnarvon Truck Stop,1014 North West Coastal Hwy,BROWN RANGE,6701,186.8,183.8,Ampol
280,Shell Reddy Express Mount Lawley,253 Walcott St,NORTH PERTH,6006,183.9,183.9,
283,BP The Lakes Roadhouse,13724 Great Eastern Hwy,THE LAKES,6556,183.9,183.9,BP
281,Shell Reddy Express Palmyra,80 Carrington St,PALMYRA,6157,183.9,183.9,
279,BP Kununurra Depot (Recharge Petroleum),Cnr Stockman Rd & Bull Run Rd,KUNUNURRA,6743,183.9,183.9,BP
282,Shell Reddy Express Westfield,88 Champion Dr,SEVILLE GROVE,6112,183.9,183.9,
277,Shell Reddy Express Forrestfield,2 Strelitzia Ave,FORRESTFIELD,6058,183.9,183.9,
269,BP Augusta,64 Blackwood Ave,AUGUSTA,6290,183.9,183.9,BP
270,Shell Reddy Express Bentley,1128 Albany Hwy,BENTLEY,6102,183.9,183.9,
272,Shell Reddy Express Bicton,394 Canning Hwy,BICTON,6157,183.9,183.9,
273,Shell Reddy Express Brentwood,71 Cranford Ave,BRENTWOOD,6153,183.9,183.9,
278,Dunning's Karratha,Lot 1437 Warambie Road,KARRATHA,6714,183.9,183.9,Liberty
275,Shell Reddy Express Cloverdale,223 Belmont Ave,CLOVERDALE,6105,183.9,183.9,
274,Shell Reddy Express Canning Vale,280 Bannister Rd,CANNING VALE,6155,183.9,183.9,
276,BP Cowaramup,1 Roy Earl Dr,COWARAMUP,6284,183.9,183.9,BP
284,Dwellingup BP,48 McLarty St,DWELLINGUP,6213,184.7,184.7,BP
